AbrGrupo;NomPacote;DthInicio;DthFim;NumTmpProcessamento;DscStatus
STG;PKG_Importacao-Dados_Cargo;10/01/2023 09:25:05;10/01/2023 09:25:05;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;10/01/2023 09:25:16;10/01/2023 09:25:16;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;10/01/2023 09:25:19;10/01/2023 09:25:19;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;10/01/2023 09:25:24;10/01/2023 09:25:24;0;PROCESSAMENTO COM ERRO/EXPUGO
STG;PKG_Importacao-Dados_Cargo;11/01/2023 09:28:16;11/01/2023 09:28:16;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;11/01/2023 09:28:28;11/01/2023 09:28:28;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;11/01/2023 09:28:32;11/01/2023 09:28:32;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;11/01/2023 09:28:38;11/01/2023 09:28:38;0;PROCESSAMENTO COM ERRO/EXPUGO
STG;PKG_Importacao-Dados_Cargo;11/01/2023 09:29:24;11/01/2023 09:29:24;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;11/01/2023 09:29:34;11/01/2023 09:29:34;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;11/01/2023 09:29:40;11/01/2023 09:29:40;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;11/01/2023 09:29:47;11/01/2023 09:29:47;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;11/01/2023 09:30:04;11/01/2023 09:30:04;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;11/01/2023 09:30:13;11/01/2023 09:30:13;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;11/01/2023 09:30:18;11/01/2023 09:30:18;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;11/01/2023 09:30:24;11/01/2023 09:30:24;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;12/01/2023 09:30:40;12/01/2023 09:30:40;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;12/01/2023 09:30:49;12/01/2023 09:30:49;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;12/01/2023 09:30:53;12/01/2023 09:30:53;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;12/01/2023 09:30:57;12/01/2023 09:30:57;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;12/01/2023 09:31:14;12/01/2023 09:31:14;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;12/01/2023 09:31:23;12/01/2023 09:31:23;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;12/01/2023 09:31:28;12/01/2023 09:31:28;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;12/01/2023 09:31:33;12/01/2023 09:31:33;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;12/01/2023 09:31:49;12/01/2023 09:31:49;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;13/01/2023 09:32:10;13/01/2023 09:32:10;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;13/01/2023 09:32:20;13/01/2023 09:32:20;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;13/01/2023 09:32:24;13/01/2023 09:32:24;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;13/01/2023 09:32:29;13/01/2023 09:32:29;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;13/01/2023 09:34:08;13/01/2023 09:34:08;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;13/01/2023 09:34:20;13/01/2023 09:34:20;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;13/01/2023 09:34:24;13/01/2023 09:34:24;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;13/01/2023 09:34:29;13/01/2023 09:34:29;0;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;14/01/2023 09:35:03;14/01/2023 09:35:06;3;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;14/01/2023 09:35:08;14/01/2023 09:35:17;9;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;14/01/2023 09:35:18;14/01/2023 09:35:22;4;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;14/01/2023 09:35:23;14/01/2023 09:35:26;3;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Cargo;14/01/2023 09:36:16;14/01/2023 09:36:20;4;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Candidatura;14/01/2023 09:36:21;14/01/2023 09:36:31;10;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Partido;14/01/2023 09:36:32;14/01/2023 09:36:36;4;PROCESSADO COM SUCESSO
STG;PKG_Importacao-Dados_Situacao_Candidatura;14/01/2023 09:36:37;14/01/2023 09:36:41;4;PROCESSADO COM SUCESSO
